index,source_text,raw_output,prompt_preview
29,Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?,"Mrs. Snyder's previous monthly income = 100% of her current monthly income - 40% of her current monthly income = 100% of 1200 - 40% of 1200 = 1200 - 480 = 720\nMrs. Snyder's previous monthly income = 720\n\nNote: 40% of her current monthly income is 480, which is calculated by multiplying 40% by 1200.",Solve the math word problem. You may output any free-form reasoning. Problem: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income? Answer: 
685,"There are some kids in camp. Half of the kids are going to soccer camp, and 1/4 of the kids going to soccer camp are going to soccer camp in the morning. 750 kids are going to soccer camp in the afternoon. How many kids there in camp altogether?","Let's break this down:\n* Half of the kids are going to soccer camp, so there are 1/2 * 1000 = 500 kids going to soccer camp.\n* 1/4 of the kids going to soccer camp are going in the morning, so there are 500 * 1/4 = 125 kids going to soccer camp in the morning.\n* 750 kids are going to soccer camp in the afternoon, so there are 500 + 750 = 1250 kids going to soccer camp altogether.\n* The total number of kids in camp is 1000 + 1250 = 2250 kids in camp altogether.\nSo, there are 2250 kids in camp altogether.","Solve the math word problem. You may output any free-form reasoning. Problem: There are some kids in camp. Half of the kids are going to soccer camp, and 1/4 of the kids going to soccer camp are going to soccer camp in the morning. 750 kids are going to soccer camp in the afternoon. How many kids there in camp altogether? Answer: "
552,James paves a new parking lot.  It is 400 feet by 500 feet.  Only 80% of that is useable for parking.  It takes 10 square feet to park a car.  How many cars can be parked?,"80% of 400 feet by 500 feet is 320 feet by 400 feet.  It takes 10 square feet to park a car.  So, 320 feet by 400 feet divided by 10 square feet is 32,000 square feet. 32,000 square feet divided by 10 square feet is 3200 cars.\n\nSo, James can park 3200 cars in the new parking lot.",Solve the math word problem. You may output any free-form reasoning. Problem: James paves a new parking lot.  It is 400 feet by 500 feet.  Only 80% of that is useable for parking.  It takes 10 square feet to park a car.  How many cars can be parked? Answer: 
786,"John writes 3 stories every week.  Each short story is 50 pages.  He also writes a novel that is 1200 pages each year.  Each sheet of paper can hold 2 pages.  Over 12 weeks, how many reams of paper does he need to buy if a ream contains 500 sheets?","John writes 3 stories every week.  Each story is 50 pages long, so he writes 3 x 50 = 150 pages per week. \nHe also writes a novel that is 1200 pages long each year, so he writes 1200 x 52 = 62400 pages per year.\nHe needs 62400 / 2 = 31200 pages per year.\nHe needs 31200 / 500 = 624 reams of paper per year.\nHe needs 624 / 12 = 51 reams of paper per month.\nHe needs 51 / 4 = 12.75 reams of paper per week.\nHe needs 12.75 / 50 = 0.256 reams of paper per day.\nHe needs 0.256 / 7 = 0.036 reams of paper per day.\nHe needs 0.036 / 12 = 0.003 reams of paper per day.\nHe needs 0.003 / 50 = 0.0006 reams of paper per day.\nHe needs 0.0006 / 12 = 0.00005 reams of paper per day.\nHe needs 0.00005 / 7 = 0.00007 reams of paper per day.\nHe needs 0.00007 / 12 = 0.00006 reams of paper per day.\nHe needs 0.00006 / 50 = 0.0000012 reams of paper per day.\nHe needs 0.0000012 / 7 = 0.0000017 reams of paper per day.\nHe needs 0.0000017 / 12 = 0.000014 reams of paper per day.\nHe needs 0.000014 / 50 = 0.0000028 reams of paper per day.\nHe needs 0.0000028 / 7 = 0.000004 reams of paper per day.\nHe needs 0.000004 / 12 = 0.0000033 reams of paper per day.\nHe needs 0.0000033 / 50 = 0.00000066 reams of paper per day.\nHe needs 0.00000066 / 7 = 0.00000094 reams of paper per day.\nHe needs 0.00000094 / 12 = 0.00000078 reams of paper per day.\nHe needs 0.00000078 / 50 = 0.000000156 reams of paper per day.\nHe needs 0.000000156 / 7 = 0.00000022 reams of paper per day.\nHe needs 0.0000","Solve the math word problem. You may output any free-form reasoning. Problem: John writes 3 stories every week.  Each short story is 50 pages.  He also writes a novel that is 1200 pages each year.  Each sheet of paper can hold 2 pages.  Over 12 weeks, how many reams of paper does he need to buy if a ream contains 500 sheets? Answer: "
242,"Ann is baking cookies. She bakes three dozen oatmeal raisin cookies, two dozen sugar cookies, and four dozen chocolate chip cookies. Ann gives away two dozen oatmeal raisin cookies, 1.5 dozen sugar cookies, and 2.5 dozen chocolate chip cookies. How many total cookies does she keep?",🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪,"Solve the math word problem. You may output any free-form reasoning. Problem: Ann is baking cookies. She bakes three dozen oatmeal raisin cookies, two dozen sugar cookies, and four dozen chocolate chip cookies. Ann gives away two dozen oatmeal raisin cookies, 1.5 dozen sugar cookies, and 2.5 dozen chocolate chip cookies. How many total cookies does she keep? Answer: "
231,"A laboratory has 22 beakers of liquid in a fume hood, and 8 of the beakers have copper ions in them. Adding three drops of a solution will turn the liquid in a beaker blue if there are copper ions present. If the beakers are tested one by one for copper ions and 45 drops are used before all 8 beakers with copper ions are found, how many beakers without copper ions were tested?","Let's start by using the information given in the problem to set up an equation. Let's say we have 22 beakers of liquid in total, and 8 of them have copper ions. So, the total number of beakers without copper ions is 22 - 8 = 14.\n\nNow, let's use the information that adding three drops of a solution will turn the liquid blue if there are copper ions present. So, if we add three drops of the solution to a beaker without copper ions, it will remain clear (or white).\n\nLet's say we start testing the beakers one by one, and we use 45 drops of the solution before finding all 8 beakers with copper ions. So, we have 45 drops / 8 beakers = 5.625 drops per beaker on average.\n\nNow, let's calculate the number of beakers without copper ions that we tested:\n\n14 beakers without copper ions x 5.625 drops per beaker = 79 drops\n\nSo, we tested 79 drops / 45 drops per beaker = 1.77 beakers without copper ions.\n\nTherefore, there are 14 - 1.77 = 12.23 beakers without copper ions.\n\nI hope this helps! Let me know if you have any questions.","Solve the math word problem. You may output any free-form reasoning. Problem: A laboratory has 22 beakers of liquid in a fume hood, and 8 of the beakers have copper ions in them. Adding three drops of a solution will turn the liquid in a beaker blue if there are copper ions present. If the beakers are tested one by one for copper ions and 45 drops are used before all 8 beakers with copper ions are found, how many beakers without copper ions were tested? Answer: "
990,"Grace started her own landscaping business. She charges $6 an hour for mowing lawns, $11 for pulling weeds and $9 for putting down mulch. In September she mowed lawns for 63 hours, pulled weeds for 9 hours and put down mulch for 10 hours. How much money did she earn in September?","To find out how much money Grace earned in September, we need to multiply the number of hours she worked in each area by the hourly rate for each task.\n\nLawn mowing: 63 hours x $6/hour = $378\nWeed pulling: 9 hours x $11/hour = $99\nMulching: 10 hours x $9/hour = $90\nTotal earnings: $378 + $99 + $90 = $567\n\nSo, Grace earned $567 in September.\n\nNote: This is just one way to solve the problem. You may use different methods or calculations to arrive at the same answer.","Solve the math word problem. You may output any free-form reasoning. Problem: Grace started her own landscaping business. She charges $6 an hour for mowing lawns, $11 for pulling weeds and $9 for putting down mulch. In September she mowed lawns for 63 hours, pulled weeds for 9 hours and put down mulch for 10 hours. How much money did she earn in September? Answer: "
815,Bingley has 5 bracelets. Kelly gives Bingley a fourth of her 16 bracelets. Then Bingley gives a third of his bracelets to his little sister. How many bracelets does Bingley have remaining?,"Bingley has 5 bracelets.\nKelly gives Bingley a fourth of her 16 bracelets, which is 4 x 16 = 64.\nSo Kelly gave Bingley 64 + 5 = 69 bracelets.\nBingley gives a third of his 5 bracelets to his little sister, which is 5 x 3 = 15.\nSo Bingley has 69 - 15 = 54 bracelets remaining.",Solve the math word problem. You may output any free-form reasoning. Problem: Bingley has 5 bracelets. Kelly gives Bingley a fourth of her 16 bracelets. Then Bingley gives a third of his bracelets to his little sister. How many bracelets does Bingley have remaining? Answer: 
273,Ursula is working at a marketing firm. She created a 30-second long commercial. Her boss told her that this commercial is too long to air and told her to shorten the commercial by 30%. How long will this commercial be after Ursula makes the desired changes?,"Ursula's commercial was 30 seconds long, so if she needs to shorten it by 30%, she will need to cut 30/100 = 0.3 seconds from the commercial.\n\nSo, the new length of the commercial will be 30 - 0.3 = 29.7 seconds.\n\nTherefore, the commercial will be 29.7 seconds long after Ursula makes the desired changes.\n\nNote: This calculation assumes that the commercial is 30 seconds long to begin with. If the commercial is shorter or longer than 30 seconds, the calculation will be different.",Solve the math word problem. You may output any free-form reasoning. Problem: Ursula is working at a marketing firm. She created a 30-second long commercial. Her boss told her that this commercial is too long to air and told her to shorten the commercial by 30%. How long will this commercial be after Ursula makes the desired changes? Answer: 
239,"Frank has 7 one-dollar bills, 4 five-dollar bills, 2 ten-dollar bills, and 1 twenty-dollar bill. He goes to buy peanuts, which cost $3 a pound. He buys what he wants and has $4 in change. He plans to eat the peanuts all in one week. How many pounds does he eat on average per day?","Let's start by identifying the total amount of money Frank has:\n7 one-dollar bills = $7\n4 five-dollar bills = $20\n2 ten-dollar bills = $20\n1 twenty-dollar bill = $20\nTotal money = $7 + $20 + $20 + $20 = $77\n\nNow, let's find out how much Frank spends on peanuts:\nPeanuts cost $3 per pound, so if he buys x pounds, he spends $3x dollars.\nSince he has $77 and spends $3x, he has $77 - $3x dollars left.\nHe has $4 in change, so he has $77 - $3x - $4 = $73 dollars left.\n\nNow, let's find out how many pounds of peanuts he buys:\nHe spends $3x dollars on peanuts, so he buys x pounds of peanuts.\nSince he has $73 left after buying peanuts, he has $73 / $3 = 24 pounds of peanuts left.\n\nNow, let's find out how many pounds he eats per day:\nSince he has 24 pounds of peanuts left and he plans to eat them all in one week, he eats 24 / 7 = 3 pounds of peanuts per day.\n\nTherefore, Frank eats 3 pounds of peanuts per day.","Solve the math word problem. You may output any free-form reasoning. Problem: Frank has 7 one-dollar bills, 4 five-dollar bills, 2 ten-dollar bills, and 1 twenty-dollar bill. He goes to buy peanuts, which cost $3 a pound. He buys what he wants and has $4 in change. He plans to eat the peanuts all in one week. How many pounds does he eat on average per day? Answer: "
