index,source_text,raw_output,prompt_preview
991,"There are six unicorns in the Enchanted Forest. Everywhere a unicorn steps, four flowers spring into bloom. The six unicorns are going to walk all the way across the forest side-by-side, a journey of 9 kilometers. If each unicorn moves 3 meters forward with each step, how many flowers bloom because of this trip?","36 flowers\n\nStep 1: Determine the distance each unicorn will move in one step.\nUnicorn moves 3 meters forward with each step.\nDistance moved by each unicorn in one step = 3 meters\n\nStep 2: Determine the number of steps each unicorn will take to travel 9 kilometers.\n9 kilometers / 3 meters per step = 300 steps\n\nStep 3: Determine the number of flowers that will bloom because of the trip.\nSince every unicorn step creates 4 flowers, the total number of flowers that will bloom = number of steps x 4 flowers per step\nTotal number of flowers that will bloom = 300 steps x 4 flowers per step = 1200 flowers\n\nTherefore, 36 flowers will bloom because of this trip.","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: There are six unicorns in the Enchanted Forest. Everywhere a unicorn steps, four flowers spring into bloom. The six unicorns are going to walk all the way across the forest side-by-side, a journey of 9 kilometers. If each unicorn moves 3 meters forward with each step, how many flowers bloom because of this trip? Answer: "
983,Carter is twice as tall as his 24” tall dog.  Betty is 12” shorter than Carter.  How tall is Betty in feet?,"Betty is 5 feet tall.\n\nStep 1: Write the problem as an equation.\nCarter is twice as tall as his 24” tall dog.\nCarter = 2(24)\nCarter = 48\n\nStep 2: Find the height of Betty.\nBetty is 12” shorter than Carter.\nBetty = Carter - 12\nBetty = 48 - 12\nBetty = 36\n\nStep 3: Convert the height of Betty from inches to feet.\nThere are 12 inches in 1 foot.\nBetty = 36 / 12\nBetty = 3 feet\n\nTherefore, Betty is 3 feet tall.",You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Carter is twice as tall as his 24” tall dog.  Betty is 12” shorter than Carter.  How tall is Betty in feet? Answer: 
52,"Arnel had ten boxes of pencils with the same number of pencils in each box.  He kept ten pencils and shared the remaining pencils equally with his five friends. If his friends got eight pencils each, how many pencils are in each box?","10\n\nStep 1: Identify the information given in the problem.\n\n* Arnel has ten boxes of pencils.\n* Each box has the same number of pencils.\n* Arnel kept ten pencils.\n* Arnel shared the remaining pencils equally with his five friends.\n* Each friend got eight pencils.\n\nStep 2: Use the information to solve the problem.\n\nLet's say the number of pencils in each box is x. Since Arnel kept ten pencils, the total number of pencils he had is 10 + 10 = 20.\n\nNow, let's find out how many pencils Arnel shared with his friends. Since he shared the remaining pencils equally with his five friends, the number of pencils he shared is 20 / 5 = 4.\n\nSo, the number of pencils in each box is x - 4 = 6.\n\nStep 3: Check your answer.\n\nLet's verify that the answer is correct by using the information given in the problem. We know that Arnel had ten boxes","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Arnel had ten boxes of pencils with the same number of pencils in each box.  He kept ten pencils and shared the remaining pencils equally with his five friends. If his friends got eight pencils each, how many pencils are in each box? Answer: "
155,"Colby harvested his mango trees, the total mangoes he harvested is 60 kilograms. He sold 20 kilograms to the market and sold the remaining half to his community. If each kilogram contains 8 mangoes, how many mangoes does he still have?","20 kilograms x 8 mangoes/kilogram = 160 mangoes\n\nTherefore, Colby still has 160 mangoes.","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Colby harvested his mango trees, the total mangoes he harvested is 60 kilograms. He sold 20 kilograms to the market and sold the remaining half to his community. If each kilogram contains 8 mangoes, how many mangoes does he still have? Answer: "
94,John writes 20 pages a day.  How long will it take him to write 3 books that are 400 pages each?,"Step 1: Identify the information given in the problem.\n\n* John writes 20 pages a day.\n* Each book is 400 pages long.\n\nStep 2: Convert the number of pages John writes per day to hours.\n\n* 20 pages/day x 24 hours/day = 480 pages/day\n\nStep 3: Calculate the number of days it will take John to write 3 books.\n\n* 480 pages/day x 3 books = 1440 pages\n* 1440 pages / 400 pages/book = 3.6 days\n\nStep 4: Convert the number of days to hours.\n\n* 3.6 days x 24 hours/day = 86.4 hours\n\nTherefore, it will take John 86.4 hours to write 3 books that are 400 pages each.\n\nFinal answer: 86.4 hours",You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: John writes 20 pages a day.  How long will it take him to write 3 books that are 400 pages each? Answer: 
25,"Ralph is going to practice playing tennis with a tennis ball machine that shoots out tennis balls for Ralph to hit. He loads up the machine with 175 tennis balls to start with. Out of the first 100 balls, he manages to hit 2/5 of them. Of the next 75 tennis balls, he manages to hit 1/3 of them. Out of all the tennis balls, how many did Ralph not hit?","125\n\nStep 1: Identify the information given in the problem.\n\n* Ralph loaded up the tennis ball machine with 175 tennis balls.\n* Out of the first 100 balls, he managed to hit 2/5 of them.\n* Out of the next 75 tennis balls, he managed to hit 1/3 of them.\n\nStep 2: Use the information given in the problem to find the number of tennis balls Ralph did not hit.\n\nFor the first 100 balls, Ralph hit 2/5 of them, which means he did not hit 3/5 of them.\n\nFor the next 75 balls, Ralph hit 1/3 of them, which means he did not hit 2/3 of them.\n\nSo, the total number of tennis balls Ralph did not hit is:\n3/5 + 2/3 = 125\n\nTherefore, the final answer is 125.","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Ralph is going to practice playing tennis with a tennis ball machine that shoots out tennis balls for Ralph to hit. He loads up the machine with 175 tennis balls to start with. Out of the first 100 balls, he manages to hit 2/5 of them. Of the next 75 tennis balls, he manages to hit 1/3 of them. Out of all the tennis balls, how many did Ralph not hit? Answer: "
443,Sab and Dane sold 6 pairs of shoes that cost $3 each and 18 shirts that cost $2. How much will each of them earn if they divided their total earning?,"Step 1: Write down the information given in the problem.\nSab sold 3 pairs of shoes and 9 shirts.\nDane sold 3 pairs of shoes and 10 shirts.\nStep 2: Find the total amount of money earned by Sab.\nSab earned $3 x 3 = $9 from the shoes and $2 x 9 = $18 from the shirts, so Sab earned a total of $9 + $18 = $27.\nStep 3: Find the total amount of money earned by Dane.\nDane earned $3 x 3 = $9 from the shoes and $2 x 10 = $20 from the shirts, so Dane earned a total of $9 + $20 = $29.\nStep 4: Divide the total amount of money earned by the number of items sold to find the cost per item.\nFor Sab, the cost per item is $27 / 12 = $2.25 per pair of shoes and $27 / 18 = $1.50 per shirt.\nFor Dane,",You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Sab and Dane sold 6 pairs of shoes that cost $3 each and 18 shirts that cost $2. How much will each of them earn if they divided their total earning? Answer: 
502,"At a garage sale, Tish bought 4 items: a red horseshoe magnet, two stuffed animals, and a large sticker which read, ""Why can't teachers solve their own math problems?""  The magnet cost three times more than the sticker, but only one quarter the price of the two stuffed animals combined.  If the Magnet cost $3, how much, in dollars, did a single stuffed animal cost?","Step 1: Identify the given information.\n\n* The red horseshoe magnet cost 3 times more than the sticker.\n* The sticker cost $3.\n* The two stuffed animals cost more than the magnet and sticker combined.\n* The two stuffed animals cost only one quarter the price of the two stuffed animals combined.\n\nStep 2: Use the information to find the cost of the sticker.\n\n$3 (magnet cost) = 3x ($sticker cost)\n$3 = 3x $3\n$3 = $9\n\nStep 3: Find the cost of one stuffed animal.\n\nSince the two stuffed animals cost more than the magnet and sticker combined, we can find the cost of one stuffed animal by subtracting the cost of the magnet and sticker from the cost of the two stuffed animals:\n\n$12 (cost of two stuffed animals) = $3 (cost of magnet) + $9 (cost of sticker)\n$12 = $3 + $9\n$12 = $12\n\nStep 4: Solve for the cost of one stuffed","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: At a garage sale, Tish bought 4 items: a red horseshoe magnet, two stuffed animals, and a large sticker which read, ""Why can't teachers solve their own math problems?""  The magnet cost three times more than the sticker, but only one quarter the price of the two stuffed animals combined.  If the Magnet cost $3, how much, in dollars, did a single stuffed animal cost? Answer: "
239,"Frank has 7 one-dollar bills, 4 five-dollar bills, 2 ten-dollar bills, and 1 twenty-dollar bill. He goes to buy peanuts, which cost $3 a pound. He buys what he wants and has $4 in change. He plans to eat the peanuts all in one week. How many pounds does he eat on average per day?","4 pounds\n\nStep 1: Count the total value of Frank's money:\n7 one-dollar bills = $7\n4 five-dollar bills = $20\n2 ten-dollar bills = $20\n1 twenty-dollar bill = $20\nTotal value = $7 + $20 + $20 + $20 = $77\n\nStep 2: Calculate the amount of money Frank has left after buying peanuts:\n$77 - $4 = $73\n\nStep 3: Calculate the number of pounds of peanuts Frank can buy with his remaining money:\n$73 / $3 = 24 pounds\n\nStep 4: Calculate the number of days Frank can eat peanuts:\n$24 / $4 = 6 days\n\nStep 5: Calculate the number of pounds Frank eats on average per day:\n6 days / 6 = 1 pound per day\n\nTherefore, Frank eats 1 pound of peanuts on average per day.","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Frank has 7 one-dollar bills, 4 five-dollar bills, 2 ten-dollar bills, and 1 twenty-dollar bill. He goes to buy peanuts, which cost $3 a pound. He buys what he wants and has $4 in change. He plans to eat the peanuts all in one week. How many pounds does he eat on average per day? Answer: "
291,Mary used 15 gallons of fuel this week. Last week she used 20% less. How much fuel did she use in total for the two weeks?,"15 gallons\n\nStep 1: Identify the given information.\n\n* Mary used 15 gallons of fuel this week.\n* Last week she used 20% less.\n\nStep 2: Calculate the amount of fuel Mary used last week.\n\n* 20% less than 15 gallons = 15 gallons x 0.80 (100% - 20%) = 12 gallons\n\nStep 3: Add the amount of fuel Mary used last week to the amount she used this week.\n\n* 15 gallons + 12 gallons = 27 gallons\n\nStep 4: Calculate the total amount of fuel Mary used for the two weeks.\n\n* 27 gallons x 2 weeks = 54 gallons\n\nTherefore, the final answer is 54 gallons.",You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Mary used 15 gallons of fuel this week. Last week she used 20% less. How much fuel did she use in total for the two weeks? Answer: 
