index,answer,confidence,raw_output,prompt_preview
1325,?,0,"{""answer"": D, ""confidence"": ""Very confident""}\n\nPlease answer the","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Burundi Army Says Might Enter Congo After Massacre (Reuters) Reuters - The Burundian army said on Tuesday it\might cross into neighboring Congo to pursue rebels and militia\it blames for massacring 160 Congolese Tutsi refugees at a camp\in western Burundi./nJSON: "
1568,?,0,"{""answer"": B, ""confidence"": ""Unconfident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Sharon Allows 1,000 More Settler Homes in West Bank  JERUSALEM (Reuters) - Prime Minister Ariel Sharon approved  tenders to build 1,000 more Israeli settler homes in the  occupied West Bank, plans that were shelved earlier to avoid  discord with Washington, political sources said Tuesday./nJSON: "
677,?,0,"{""answer"": A, ""confidence"": Very unconfident}\n\nNews: Le","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Brad Ott Gets First Nationwide Victory (AP) AP - Brad Ott shot an 8-under 64 on Sunday to win the Nationwide Tour's Price Cutter Charity Championship for his first Nationwide victory./nJSON: "
791,?,0,"{""answer"": D, ""confidence"": ""Unconfident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Expense Issue Draws Mixed Views From Companies The debate over whether companies should  treat stock options as an expense draws mixed reactions from Washington area businesses, some of which have a lot to lose if the accounting rule changes./nJSON: "
2933,?,0,"{""answer"": D, ""confidence"": ""Very confident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Parmalat sues ex-auditors Deloitte, Grant Thornton MILAN, Aug 18 (Reuters) - Parmalat sued its former auditors Deloitte  amp; Touche and Grant Thornton on Wednesday, broadening a legal battle to claw back billions of euros from ex-allies the food group says helped drive it into .../nJSON: "
629,?,0,"{""answer"": B, ""confidence"": ""Unconfident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Millions Wait Hours in Venezuela to Vote in Recall Election The unprecedented vote was sluggish as huge crowds lined up at voting booths. Results were not expected until 8 p.m., or later./nJSON: "
1935,?,0,"{""answer"": D, ""confidence"": ""Very confident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Blast in Gaza Home of Hamas Man Kills 4 - Medics  GAZA (Reuters) - An explosion tore through the home of a  senior Hamas militant in Gaza on Wednesday, killing at least  four people and wounding him and about a dozen other  Palestinians, medics said./nJSON: "
733,?,0,"{""answer"": D, ""confidence"": ""Very confident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Israel Turns Up Heat on Palestinian Hunger Strike (Reuters) Reuters - Israel declared psychological war on\hunger-striking Palestinian prisoners on Monday, saying it\would barbecue meat outside their cells to try to break their\will./nJSON: "
840,?,0,"Please answer:\n{\n""answer"": B,\n""confidence"": Very un","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Ex-Chess Champion Fischer to Marry Japanese Woman  TOKYO (Reuters) - In a bold gambit worthy of the chess  champion he once was, Bobby Fischer plans to wed a four-time  Japanese great in the hope of avoiding deportation home to the  United States, where he is wanted for breaking sanctions./nJSON: "
2334,?,0,"{""answer"": B, ""confidence"": ""Unconfident""}","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident}. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Warring Afghan Factions Say Cease-fire Holding (Reuters) Reuters - A renegade Afghan militia commander and a\spokesman for the governor of the western province of Herat\said on Wednesday their forces were honoring a cease-fire\brokered a day earlier by the U.S. envoy to Afghanistan./nJSON: "
